"Dhin" "Dain" "Bwin" "Erosion" "deltacrest"
"218" 4.329 98.947 33.000 0.000 0.000
"219" 4.729 115.711 33.000 0.000 0.000
"220" 5.129 131.19 33.000 0.000 0.000
"221" 2.529 44.407 33.000 0.000 0.000
"222" 5.629 170.775 33.000 0.000 0.000
"223" 6.129 196.722 33.000 0.000 0.000
"224" 2.529 39.349 33.000 0.000 0.000
"225" 2.829 48.189 33.000 0.000 0.000
"226" 3.129 56.335 33.000 0.000 0.000
"227" 3.429 66.765 33.000 0.000 0.000
"228" 3.729 76.201 33.000 0.000 0.000
"229" 4.029 88.221 33.000 0.000 0.000
"230" 4.329 98.947 33.000 0.000 0.000
"231" 4.729 115.711 33.000 0.000 0.000
"232" 2.829 53.847 33.000 0.000 0.000
"233" 5.129 133.755 33.000 0.000 0.000
"234" 5.629 159.517 33.000 0.000 0.000
"235" 6.129 184.464 33.000 0.000 0.000
"236" 2.529 34.291 33.000 0.000 0.000
"237" 2.829 42.531 33.000 0.000 0.000
"238" 3.129 50.077 33.000 0.000 0.000
"239" 3.429 59.907 33.000 0.000 0.000
"240" 3.729 68.743 33.000 0.000 0.000
"241" 4.029 80.163 33.000 0.000 0.000
"242" 4.329 90.289 33.000 0.000 0.000
"243" 3.129 62.593 33.000 0.000 0.000
"244" 4.729 106.253 33.000 0.000 0.000
"245" 5.129 123.496 33.000 0.000 0.000
"246" 5.629 148.259 33.000 0.000 0.000
"247" 6.129 172.206 33.000 0.000 0.000
"248" 2.529 29.233 33.000 0.000 0.000
"249" 2.829 36.873 33.000 0.000 0.000
"250" 3.129 43.819 33.000 0.000 0.000
"251" 3.429 53.049 33.000 0.000 0.000
"252" 3.729 61.285 33.000 0.000 0.000
"253" 4.029 72.105 33.000 0.000 0.000
"254" 3.429 73.623 33.000 0.000 0.000
"255" 4.329 81.631 33.000 0.000 0.000
"256" 4.729 96.794 33.000 0.000 0.000
"257" 5.129 113.238 33.000 0.000 0.000
"258" 5.629 137.001 33.000 0.000 0.000
"259" 6.129 159.948 33.000 0.000 0.000
"260" 2.529 24.175 33.000 0.000 0.000
"261" 2.829 31.215 33.000 0.000 0.000
"262" 3.129 37.561 33.000 0.000 0.000
"263" 3.429 46.191 33.000 0.000 0.000
"264" 3.729 53.827 33.000 0.000 0.000
"265" 3.729 83.659 33.000 0.000 0.000
"266" 4.029 64.047 33.000 0.000 0.000
"267" 4.329 72.972 33.000 0.000 0.000
"268" 4.729 87.336 33.000 0.000 0.000
"269" 5.129 102.98 33.000 0.000 0.000
"270" 5.629 125.742 33.000 0.000 0.000
"271" 6.129 147.69 33.000 0.000 0.000
"272" 4.029 96.279 33.000 0.000 0.000
"273" 4.329 107.605 33.000 0.000 0.000
"274" 4.729 125.169 33.000 0.000 0.000
"275" 5.129 144.013 33.000 0.000 0.000
"276" 2.542 31.952 37.000 7.626 0.000
"277" 5.642 109.192 37.000 5.642 0.000
"278" 6.142 123.53 37.000 9.213 0.000
"279" 2.542 26.868 37.000 7.626 0.000
"280" 2.842 32.812 37.000 5.684 0.000
"281" 3.142 37.755 37.000 6.284 0.000
"282" 3.442 42.968 37.000 6.884 0.000
"283" 3.742 50.322 37.000 5.613 0.000
"284" 4.042 56.224 37.000 8.084 0.000
"285" 4.342 62.397 37.000 8.684 0.000
"286" 4.742 73.419 37.000 7.113 0.000
"287" 2.842 38.496 37.000 5.684 0.000
"288" 5.142 82.749 37.000 7.713 0.000
"289" 5.642 97.908 37.000 5.642 0.000
"290" 6.142 111.246 37.000 9.213 0.000
"291" 2.542 21.784 37.000 7.352 0.330
"292" 2.842 27.128 37.000 5.684 0.000
"293" 3.142 31.471 37.000 6.284 0.000
"294" 3.442 36.084 37.000 6.884 0.000
"295" 3.742 42.838 37.000 5.613 0.000
